price,product,place,amount,date,hot,rain,snow,cost,mean_of_comp_prices
4.3,Целебные травы,Анор Лондо,45.48351367943177,2216-01-27,0,0,1,3.07,4.119999999999999
4.3,Целебные травы,Анор Лондо,40.28609592738107,2216-01-28,0,1,0,3.07,4.14
4.3,Целебные травы,Анор Лондо,32.1523685552239,2216-01-29,0,0,0,3.07,3.9999999999999996
4.3,Целебные травы,Анор Лондо,21.270357434266398,2216-01-30,0,0,0,3.07,4.056666666666666
4.3,Целебные травы,Анор Лондо,39.38872064148369,2216-01-31,0,1,0,3.07,4.175
4.3,Целебные травы,Анор Лондо,36.54923392503946,2216-02-01,0,0,0,3.07,4.056666666666666
4.3,Целебные травы,Анор Лондо,44.86234902122614,2216-02-02,0,1,0,3.07,4.084999999999999
4.3,Целебные травы,Анор Лондо,29.557114566442415,2216-02-03,0,0,0,3.07,4.069999999999999
4.3,Целебные травы,Анор Лондо,30.891290175099073,2216-02-04,0,0,0,3.07,4.116666666666666
4.3,Целебные травы,Анор Лондо,33.85301683086992,2216-02-05,0,0,0,3.07,4.21
4.3,Целебные травы,Анор Лондо,26.108908846553035,2216-02-06,0,0,0,3.07,4.116666666666666
4.6,Целебные травы,Анор Лондо,27.53196957507707,2216-02-07,0,0,0,3.07,3.9999999999999996
4.6,Целебные травы,Анор Лондо,24.07874028495634,2216-02-08,0,0,0,3.07,4.109999999999999
4.6,Целебные травы,Анор Лондо,29.94978843350124,2216-02-09,0,0,0,3.07,4.18
4.6,Целебные травы,Анор Лондо,35.73510424580711,2216-02-10,1,0,0,3.07,0.0
4.6,Целебные травы,Анор Лондо,27.520842105344226,2216-02-11,0,0,0,3.07,3.9999999999999996
4.6,Целебные травы,Анор Лондо,29.26460226764456,2216-02-12,0,0,0,3.3,0.0
4.6,Целебные травы,Анор Лондо,33.95403547595262,2216-02-13,0,0,0,3.3,0.0
4.6,Целебные травы,Анор Лондо,26.696753702842262,2216-02-14,0,0,0,3.3,3.8799999999999994
4.6,Целебные травы,Анор Лондо,27.38782649491789,2216-02-15,0,0,0,3.3,3.9899999999999993
4.6,Целебные травы,Анор Лондо,29.891918432080804,2216-02-16,0,0,0,3.3,0.0
4.6,Целебные травы,Анор Лондо,45.04022444273326,2216-02-17,0,0,1,3.3,4.116666666666666
4.6,Целебные травы,Анор Лондо,35.17190153108587,2216-02-18,0,1,0,3.3,3.9899999999999993
4.6,Целебные травы,Анор Лондо,40.04092769311591,2216-02-19,1,0,0,3.3,4.1049999999999995
4.6,Целебные травы,Анор Лондо,32.67988132497983,2216-02-20,0,0,0,3.3,4.234999999999999
4.6,Целебные травы,Анор Лондо,35.429369763557304,2216-02-21,0,1,0,3.3,3.9899999999999993
4.6,Целебные травы,Анор Лондо,29.030002559677595,2216-02-22,0,0,0,3.3,4.119999999999999
4.6,Целебные травы,Анор Лондо,27.243150298561126,2216-02-23,0,0,0,3.3,3.8799999999999994
4.6,Целебные травы,Анор Лондо,49.54879480069422,2216-02-24,0,1,0,3.3,4.0
4.6,Целебные травы,Анор Лондо,34.97649549878515,2216-02-25,0,0,0,3.3,3.8799999999999994
4.6,Целебные травы,Анор Лондо,43.62314023389737,2216-02-26,0,0,1,3.3,3.8899999999999997
4.6,Целебные травы,Анор Лондо,24.749493987243213,2216-02-27,0,0,0,3.3,3.9666666666666663
5.069999999999999,Целебные травы,Анор Лондо,39.10466955151467,2216-02-28,1,0,0,3.3,3.8899999999999997
5.069999999999999,Целебные травы,Анор Лондо,22.532999242638684,2216-02-29,0,0,0,3.3,3.8999999999999995
5.069999999999999,Целебные травы,Анор Лондо,24.383040349570038,2216-03-01,0,0,0,3.3,4.01
5.069999999999999,Целебные травы,Анор Лондо,41.7181990312415,2216-03-02,0,1,0,3.3,4.02
5.069999999999999,Целебные травы,Анор Лондо,36.99206499109032,2216-03-03,1,0,0,3.3,3.9099999999999997
5.069999999999999,Целебные травы,Анор Лондо,45.48085663341841,2216-03-04,1,0,0,3.3,4.02
5.069999999999999,Целебные травы,Анор Лондо,28.070700252141087,2216-03-05,0,0,0,3.3,4.02
5.069999999999999,Целебные травы,Анор Лондо,42.33063245270111,2216-03-06,0,0,1,4.04,4.0
5.069999999999999,Целебные травы,Анор Лондо,29.464201524600004,2216-03-07,0,0,0,4.04,4.12
5.069999999999999,Целебные травы,Анор Лондо,40.464981188352006,2216-03-08,0,0,1,4.04,4.0
5.069999999999999,Целебные травы,Анор Лондо,39.33865852826376,2216-03-09,0,0,1,4.04,4.01
5.069999999999999,Целебные травы,Анор Лондо,27.828541425798832,2216-03-10,0,0,0,4.04,4.114999999999999
5.069999999999999,Целебные травы,Анор Лондо,38.7011005728475,2216-03-11,0,0,1,4.04,4.12
5.069999999999999,Целебные травы,Анор Лондо,40.49213419950113,2216-03-12,1,0,0,4.04,4.074999999999999
5.069999999999999,Целебные травы,Анор Лондо,36.82367628783556,2216-03-13,0,0,0,4.04,3.919999999999999
5.069999999999999,Целебные травы,Анор Лондо,31.61611576187528,2216-03-14,0,0,0,4.04,3.8866666666666663
5.069999999999999,Целебные травы,Анор Лондо,41.045426770030694,2216-03-15,0,0,1,4.04,4.334999999999999
5.069999999999999,Целебные травы,Анор Лондо,43.82553582933557,2216-03-16,0,1,0,4.04,3.9999999999999996
5.069999999999999,Целебные травы,Анор Лондо,39.74526172488875,2216-03-17,0,0,1,4.04,4.06
5.069999999999999,Целебные травы,Анор Лондо,41.672466744975495,2216-03-18,0,0,1,4.04,4.074999999999999
5.069999999999999,Целебные травы,Анор Лондо,26.53309768610144,2216-03-19,0,0,0,4.04,3.6649999999999996
5.069999999999999,Целебные травы,Анор Лондо,42.88653168288086,2216-03-20,1,0,0,4.04,3.8866666666666663
5.569999999999999,Целебные травы,Анор Лондо,28.564955667603353,2216-03-21,0,0,0,4.04,3.9999999999999996
5.569999999999999,Целебные травы,Анор Лондо,41.83069727122587,2216-03-22,1,0,0,4.04,3.8866666666666663
5.569999999999999,Целебные травы,Анор Лондо,32.82771107393056,2216-03-23,0,0,0,4.04,3.82
5.569999999999999,Целебные травы,Анор Лондо,43.14946760068133,2216-03-24,0,0,1,4.04,3.6649999999999996
5.569999999999999,Целебные травы,Анор Лондо,41.83597818604767,2216-03-25,0,1,0,4.04,3.8866666666666663
5.569999999999999,Целебные травы,Анор Лондо,30.793056249978743,2216-03-26,0,0,0,4.04,4.34
5.569999999999999,Целебные травы,Анор Лондо,41.95372074711067,2216-03-27,0,1,0,3.88,4.074999999999999
5.569999999999999,Целебные травы,Анор Лондо,47.42268298789034,2216-03-28,1,0,0,3.88,3.53
5.569999999999999,Целебные травы,Анор Лондо,47.72032404060325,2216-03-29,0,1,0,3.88,3.789999999999999
5.569999999999999,Целебные травы,Анор Лондо,51.02487720468033,2216-03-30,0,0,1,3.88,4.289999999999999
5.569999999999999,Целебные травы,Анор Лондо,45.007209861479716,2216-03-31,0,0,1,3.88,3.53
5.569999999999999,Целебные травы,Анор Лондо,25.60654176472942,2216-04-01,0,0,0,3.88,4.036666666666666
5.569999999999999,Целебные травы,Анор Лондо,26.97930360401623,2216-04-02,0,0,0,3.88,3.9349999999999996
5.569999999999999,Целебные травы,Анор Лондо,29.76414284459484,2216-04-03,0,0,0,3.88,3.9349999999999996
5.569999999999999,Целебные травы,Анор Лондо,42.76591269527346,2216-04-04,1,0,0,3.88,3.9349999999999996
5.569999999999999,Целебные травы,Анор Лондо,42.24102533530238,2216-04-05,1,0,0,3.88,3.53
5.569999999999999,Целебные травы,Анор Лондо,31.612443181652374,2216-04-06,0,0,0,3.88,3.885
5.569999999999999,Целебные травы,Анор Лондо,44.076639957542895,2216-04-07,0,0,1,3.88,3.9099999999999997
5.569999999999999,Целебные травы,Анор Лондо,29.246036898930388,2216-04-08,0,0,0,3.88,3.766666666666666
5.569999999999999,Целебные травы,Анор Лондо,48.6631896762175,2216-04-09,1,0,0,3.88,3.5299999999999994
5.52,Целебные травы,Анор Лондо,43.98490742659837,2216-04-10,0,0,1,3.88,3.5299999999999994
5.52,Целебные травы,Анор Лондо,44.754004376991475,2216-04-11,0,1,0,3.88,3.885
5.52,Целебные травы,Анор Лондо,33.54374093680384,2216-04-12,0,0,0,3.88,3.8649999999999993
5.52,Целебные травы,Анор Лондо,47.311942468356015,2216-04-13,1,0,0,3.88,3.5299999999999994
5.52,Целебные травы,Анор Лондо,26.97233493659833,2216-04-14,0,0,0,3.88,3.494999999999999
5.52,Целебные травы,Анор Лондо,33.13612917720144,2216-04-15,0,0,0,3.88,4.196666666666666
5.52,Целебные травы,Анор Лондо,51.15051310821109,2216-04-16,0,0,1,3.88,3.856666666666666
5.52,Целебные травы,Анор Лондо,30.468068310199943,2216-04-17,0,0,0,3.88,3.1799999999999993
5.52,Целебные травы,Анор Лондо,31.249219157825173,2216-04-18,0,0,0,2.49,3.9424999999999994
5.52,Целебные травы,Анор Лондо,30.15445152408724,2216-04-19,0,0,0,2.49,4.004999999999999
5.52,Целебные травы,Анор Лондо,29.390438682806188,2216-04-20,0,0,0,2.49,3.494999999999999
5.52,Целебные травы,Анор Лондо,50.10841797718498,2216-04-21,0,1,0,2.49,4.004999999999999
5.52,Целебные травы,Анор Лондо,46.8485134547434,2216-04-22,1,0,0,2.49,3.856666666666666
5.52,Целебные травы,Анор Лондо,48.85805788691797,2216-04-23,0,0,1,2.49,3.88
5.52,Целебные травы,Анор Лондо,42.858988223705424,2216-04-24,0,0,1,2.49,3.1799999999999993
5.52,Целебные травы,Анор Лондо,32.00647679982997,2216-04-25,0,0,0,2.49,4.02
5.52,Целебные травы,Анор Лондо,38.307372761808296,2216-04-26,1,0,0,2.49,3.856666666666666
5.52,Целебные травы,Анор Лондо,30.728861138780328,2216-04-27,0,0,0,2.49,3.7399999999999998
5.52,Целебные травы,Анор Лондо,33.62164899937541,2216-04-28,0,0,0,2.49,3.9933333333333327
5.92,Целебные травы,Анор Лондо,55.1762578845065,2216-04-29,1,0,0,2.49,3.9933333333333327
5.92,Целебные травы,Анор Лондо,42.694316721555,2216-04-30,0,1,0,2.49,4.609999999999999
5.92,Целебные травы,Анор Лондо,29.556957063156045,2216-05-01,0,0,0,2.4,4.265
5.92,Целебные травы,Анор Лондо,50.62237137181027,2216-05-02,1,0,0,2.4,3.856666666666666
5.92,Целебные травы,Анор Лондо,47.97672142863637,2216-05-03,0,0,1,2.4,3.9599999999999995
5.92,Целебные травы,Анор Лондо,43.400284789119034,2216-05-04,0,1,0,2.4,4.265
5.92,Целебные травы,Анор Лондо,32.86144312702915,2216-05-05,0,0,0,2.4,4.109999999999999
5.92,Целебные травы,Анор Лондо,34.39511593917343,2216-05-06,0,0,0,2.4,4.34
5.92,Целебные травы,Анор Лондо,46.771460299223435,2216-05-07,0,1,0,2.4,4.68
5.92,Целебные травы,Анор Лондо,27.554658280061545,2216-05-08,0,0,0,2.4,3.349999999999999
5.92,Целебные травы,Анор Лондо,27.76642012947649,2216-05-09,0,0,0,2.4,4.68
5.92,Целебные травы,Анор Лондо,42.59863468154223,2216-05-10,0,0,1,2.4,3.349999999999999
5.92,Целебные травы,Анор Лондо,39.98897128063809,2216-05-11,1,0,0,2.4,4.14
5.92,Целебные травы,Анор Лондо,44.07285618510342,2216-05-12,0,1,0,2.4,3.856666666666666
5.92,Целебные травы,Анор Лондо,30.924351384573058,2216-05-13,0,0,0,2.4,4.109999999999999
5.92,Целебные травы,Анор Лондо,46.953300123044365,2216-05-14,1,0,0,2.4,3.9599999999999995
5.92,Целебные травы,Анор Лондо,30.974991366239177,2216-05-15,0,0,0,2.4,4.3149999999999995
5.92,Целебные травы,Анор Лондо,39.27247984137465,2216-05-16,0,0,0,2.4,5.135
5.92,Целебные травы,Анор Лондо,37.64238151456804,2216-05-17,0,0,0,2.4,4.99
6.51,Целебные травы,Анор Лондо,22.67779688806188,2216-05-18,0,0,0,4.63,4.069999999999999
6.51,Целебные травы,Анор Лондо,40.8486886374593,2216-05-19,0,0,1,4.63,4.47
6.51,Целебные травы,Анор Лондо,46.760961575119836,2216-05-20,1,0,0,4.63,4.739999999999999
6.51,Целебные травы,Анор Лондо,30.790021759233383,2216-05-21,0,0,0,4.63,4.4025
6.51,Целебные травы,Анор Лондо,39.393634048637296,2216-05-22,1,0,0,4.63,4.5325
6.51,Целебные травы,Анор Лондо,41.29346840387113,2216-05-23,0,1,0,4.63,4.726666666666666
6.51,Целебные травы,Анор Лондо,30.629566188333822,2216-05-24,0,0,0,4.63,4.283333333333332
6.51,Целебные травы,Анор Лондо,43.07335693671163,2216-05-25,0,0,1,4.63,3.6699999999999995
6.51,Целебные травы,Анор Лондо,47.385578234971796,2216-05-26,1,0,0,4.63,4.449999999999999
6.51,Целебные травы,Анор Лондо,43.52393667611094,2216-05-27,0,0,1,4.63,4.726666666666666
6.51,Целебные травы,Анор Лондо,44.060800830251914,2216-05-28,0,1,0,4.63,3.6699999999999995
6.51,Целебные травы,Анор Лондо,29.973352245508647,2216-05-29,0,0,0,4.63,4.7299999999999995
6.51,Целебные травы,Анор Лондо,43.918807088138685,2216-05-30,0,0,1,4.63,4.913333333333333
6.51,Целебные травы,Анор Лондо,37.07079493986946,2216-05-31,1,0,0,4.63,4.726666666666666
6.51,Целебные травы,Анор Лондо,35.66423649719768,2216-06-01,0,0,0,4.63,0.0
6.51,Целебные травы,Анор Лондо,37.41838145756464,2216-06-02,0,0,0,4.63,4.246666666666666
6.51,Целебные травы,Анор Лондо,34.86412439846946,2216-06-03,0,0,0,4.63,3.6149999999999993
6.34,Целебные травы,Анор Лондо,35.130074200308954,2216-06-04,0,0,0,4.63,4.833333333333333
6.34,Целебные травы,Анор Лондо,32.59074743052384,2216-06-05,0,0,0,4.63,5.239999999999999
6.34,Целебные травы,Анор Лондо,43.81775298233262,2216-06-06,0,0,1,4.63,4.756666666666666
6.34,Целебные травы,Анор Лондо,29.209670536623385,2216-06-07,0,0,0,4.63,4.819999999999999
6.34,Целебные травы,Анор Лондо,48.42218123509931,2216-06-08,0,0,1,4.47,5.51
6.34,Целебные травы,Анор Лондо,46.47502250747514,2216-06-09,0,1,0,4.47,3.519999999999999
6.34,Целебные травы,Анор Лондо,35.4646417663699,2216-06-10,0,0,0,4.47,4.819999999999999
6.34,Целебные травы,Анор Лондо,39.937526178102594,2216-06-11,0,0,0,4.47,4.756666666666666
6.34,Целебные травы,Анор Лондо,27.894178311532595,2216-06-12,0,0,0,4.47,4.863333333333332
6.34,Целебные травы,Анор Лондо,38.63378342544078,2216-06-13,0,0,0,4.47,4.475
6.34,Целебные травы,Анор Лондо,34.63306159967907,2216-06-14,0,0,0,4.47,5.83
6.34,Целебные травы,Анор Лондо,31.432838854120373,2216-06-15,0,0,0,4.47,5.535
6.34,Целебные травы,Анор Лондо,29.808975193855776,2216-06-16,0,0,0,4.47,4.353333333333333
6.34,Целебные травы,Анор Лондо,50.91267868601761,2216-06-17,0,0,1,4.47,4.475
6.34,Целебные травы,Анор Лондо,37.0708515034923,2216-06-18,0,0,0,4.47,4.816666666666666
6.34,Целебные травы,Анор Лондо,51.92896574972795,2216-06-19,1,0,0,4.47,4.816666666666666
6.34,Целебные травы,Анор Лондо,55.23800019653787,2216-06-20,0,0,1,4.47,4.675
6.34,Целебные травы,Анор Лондо,35.758790376734,2216-06-21,0,0,0,4.47,4.54
6.34,Целебные травы,Анор Лондо,54.42719278859151,2216-06-22,0,0,1,4.47,5.465
6.34,Целебные травы,Анор Лондо,39.17769447853944,2216-06-23,0,0,0,4.47,4.9350000000000005
6.93,Целебные травы,Анор Лондо,27.02409408890645,2216-06-24,0,0,0,3.79,4.989999999999999
6.93,Целебные травы,Анор Лондо,41.79894322601911,2216-06-25,0,0,0,3.79,5.1
6.93,Целебные травы,Анор Лондо,44.759964510869054,2216-06-26,0,0,1,3.79,4.594999999999999
6.93,Целебные травы,Анор Лондо,33.8051311815953,2216-06-27,0,0,0,3.79,4.089999999999999
6.93,Целебные травы,Анор Лондо,52.64356111484061,2216-06-28,1,0,0,3.79,4.989999999999999
6.93,Целебные травы,Анор Лондо,46.32501565511049,2216-06-29,0,1,0,3.79,5.295
6.93,Целебные травы,Анор Лондо,51.88992448484463,2216-06-30,1,0,0,3.79,4.409999999999999
6.93,Целебные травы,Анор Лондо,50.478783106004634,2216-07-01,1,0,0,3.79,4.409999999999999
6.93,Целебные травы,Анор Лондо,53.3356498966365,2216-07-02,0,0,1,3.79,4.8933333333333335
6.93,Целебные травы,Анор Лондо,39.10675811300028,2216-07-03,0,0,0,3.79,4.765000000000001
6.93,Целебные травы,Анор Лондо,54.79273223150273,2216-07-04,1,0,0,3.79,4.54
6.93,Целебные травы,Анор Лондо,48.696986534978066,2216-07-05,1,0,0,3.79,4.6274999999999995
6.93,Целебные травы,Анор Лондо,50.676112662883,2216-07-06,0,0,1,3.79,4.54
6.93,Целебные травы,Анор Лондо,51.605019765108196,2216-07-07,0,1,0,3.79,4.89
6.93,Целебные травы,Анор Лондо,32.754232981812756,2216-07-08,0,0,0,3.79,4.54
6.93,Целебные травы,Анор Лондо,51.81328069007819,2216-07-09,0,1,0,3.79,4.72
6.93,Целебные травы,Анор Лондо,58.17094947198067,2216-07-10,0,0,1,3.79,4.93
6.93,Целебные травы,Анор Лондо,36.70649980585363,2216-07-11,0,0,0,3.79,4.93
6.93,Целебные травы,Анор Лондо,52.08783886668317,2216-07-12,0,0,1,3.79,4.729999999999999
6.739999999999999,Целебные травы,Анор Лондо,42.92082602038362,2216-07-13,0,0,0,3.79,4.5699999999999985
6.739999999999999,Целебные травы,Анор Лондо,56.1075426151392,2216-07-14,0,0,1,3.79,4.89
6.739999999999999,Целебные травы,Анор Лондо,46.10995857514195,2216-07-15,0,0,0,3.79,4.89
6.739999999999999,Целебные травы,Анор Лондо,52.31115307262956,2216-07-16,0,0,1,3.79,0.0
6.739999999999999,Целебные травы,Анор Лондо,42.15169610806464,2216-07-17,0,0,0,3.79,4.729999999999999
6.739999999999999,Целебные травы,Анор Лондо,52.30000187296824,2216-07-18,1,0,0,3.4,4.5699999999999985
6.739999999999999,Целебные травы,Анор Лондо,50.55895353276584,2216-07-19,1,0,0,3.4,4.41
6.739999999999999,Целебные травы,Анор Лондо,52.032635091418456,2216-07-20,0,1,0,3.4,4.93
6.739999999999999,Целебные травы,Анор Лондо,51.00112491781164,2216-07-21,0,1,0,3.4,0.0
6.739999999999999,Целебные травы,Анор Лондо,52.78199900103515,2216-07-22,1,0,0,3.4,4.89
6.739999999999999,Целебные травы,Анор Лондо,39.696175439787936,2216-07-23,0,0,0,3.4,4.41
6.739999999999999,Целебные травы,Анор Лондо,56.67738922589595,2216-07-24,0,0,1,3.4,4.729999999999999
6.739999999999999,Целебные травы,Анор Лондо,52.19817865132215,2216-07-25,0,0,1,3.4,5.49
6.739999999999999,Целебные травы,Анор Лондо,36.81443670342609,2216-07-26,0,0,0,3.4,4.664999999999999
6.739999999999999,Целебные травы,Анор Лондо,43.31617556036575,2216-07-27,0,0,0,3.4,4.919999999999999
6.739999999999999,Целебные травы,Анор Лондо,48.06704639134224,2216-07-28,0,0,0,3.4,5.375
6.739999999999999,Целебные травы,Анор Лондо,53.089994134826455,2216-07-29,1,0,0,3.4,5.99
6.739999999999999,Целебные травы,Анор Лондо,51.22806254609505,2216-07-30,0,0,1,3.4,5.27
6.739999999999999,Целебные травы,Анор Лондо,54.0477015871941,2216-07-31,0,0,1,3.4,5.27
6.739999999999999,Целебные травы,Анор Лондо,52.79117816045373,2216-08-01,0,1,0,3.4,4.844999999999999
6.739999999999999,Целебные травы,Анор Лондо,46.529310860299276,2216-08-02,0,1,0,3.4,4.929999999999999
6.739999999999999,Целебные травы,Анор Лондо,53.41496347314171,2216-08-03,0,1,0,3.4,5.2375
6.739999999999999,Целебные травы,Анор Лондо,38.80258406737261,2216-08-04,0,0,0,3.4,4.76
6.739999999999999,Целебные травы,Анор Лондо,57.39189227211556,2216-08-05,1,0,0,3.4,5.99
6.739999999999999,Целебные травы,Анор Лондо,45.576353058490106,2216-08-06,0,0,0,3.4,5.015
6.739999999999999,Целебные травы,Анор Лондо,45.915100873911406,2216-08-07,0,0,0,3.4,4.929999999999999
6.739999999999999,Целебные травы,Анор Лондо,52.89431594686241,2216-08-08,0,1,0,3.4,5.289999999999999
6.739999999999999,Целебные травы,Анор Лондо,40.532285662605155,2216-08-09,0,0,0,3.4,4.844999999999999
6.739999999999999,Целебные травы,Анор Лондо,52.633172664290434,2216-08-10,0,1,0,3.4,4.844999999999999
6.739999999999999,Целебные травы,Анор Лондо,48.73283769609361,2216-08-11,0,0,0,3.4,5.305
6.739999999999999,Целебные травы,Анор Лондо,58.07892298544323,2216-08-12,0,0,1,3.4,5.476666666666667
6.739999999999999,Целебные травы,Анор Лондо,58.09761040024313,2216-08-13,0,0,1,3.4,0.0
7.2299999999999995,Целебные травы,Анор Лондо,41.242747006509106,2216-08-14,0,0,0,3.4,5.36
7.2299999999999995,Целебные травы,Анор Лондо,35.637112911491954,2216-08-15,0,0,0,3.4,5.456666666666667
7.2299999999999995,Целебные травы,Анор Лондо,54.58370543791483,2216-08-16,0,0,1,3.4,5.31
7.2299999999999995,Целебные травы,Анор Лондо,60.46855677870994,2216-08-17,1,0,0,2.7,5.8500000000000005
7.2299999999999995,Целебные травы,Анор Лондо,37.70471477262467,2216-08-18,0,0,0,2.7,5.31
7.2299999999999995,Целебные травы,Анор Лондо,54.98071897876704,2216-08-19,0,1,0,2.7,5.456666666666667
7.2299999999999995,Целебные травы,Анор Лондо,39.74334498718345,2216-08-20,0,0,0,2.7,5.36
7.2299999999999995,Целебные травы,Анор Лондо,58.15288380133316,2216-08-21,0,0,1,2.7,5.456666666666666
7.2299999999999995,Целебные травы,Анор Лондо,34.25661278552038,2216-08-22,0,0,0,2.7,4.869999999999999
7.2299999999999995,Целебные травы,Анор Лондо,43.69017911688671,2216-08-23,0,0,0,2.7,5.26
7.2299999999999995,Целебные травы,Анор Лондо,56.026990430532244,2216-08-24,1,0,0,2.7,5.805
7.2299999999999995,Целебные травы,Анор Лондо,53.43424929675965,2216-08-25,0,0,1,2.7,5.233333333333333
7.2299999999999995,Целебные травы,Анор Лондо,48.34860357357661,2216-08-26,0,0,1,2.7,5.26
7.2299999999999995,Целебные травы,Анор Лондо,51.45159698098365,2216-08-27,0,1,0,2.7,0.0
7.2299999999999995,Целебные травы,Анор Лондо,37.0806665449529,2216-08-28,0,0,0,2.7,5.076666666666666
7.2299999999999995,Целебные травы,Анор Лондо,51.19425302054261,2216-08-29,0,0,1,2.7,5.233333333333333
7.2299999999999995,Целебные травы,Анор Лондо,41.76434717629984,2216-08-30,0,0,0,2.7,5.53
7.2299999999999995,Целебные травы,Анор Лондо,41.07189240181206,2216-08-31,1,0,0,2.7,5.18
7.2299999999999995,Целебные травы,Анор Лондо,46.93448262883607,2216-09-01,1,0,0,2.7,5.355
7.2299999999999995,Целебные травы,Анор Лондо,53.527111811339395,2216-09-02,0,1,0,2.7,5.960000000000001
7.2299999999999995,Целебные травы,Анор Лондо,36.53435201550846,2216-09-03,0,0,0,2.7,5.415000000000001
7.2299999999999995,Целебные травы,Анор Лондо,41.993150782666135,2216-09-04,0,0,0,2.7,5.153333333333333
7.2299999999999995,Целебные травы,Анор Лондо,46.59558774339153,2216-09-05,0,0,1,2.7,5.153333333333333
7.2299999999999995,Целебные травы,Анор Лондо,50.506257710593545,2216-09-06,0,1,0,2.7,5.355
7.2299999999999995,Целебные травы,Анор Лондо,36.69601630089328,2216-09-07,0,0,0,2.7,5.415000000000001
7.01,Целебные травы,Анор Лондо,33.50096573083497,2216-09-08,0,0,0,2.7,0.0
7.01,Целебные травы,Анор Лондо,44.94416533583085,2216-09-09,1,0,0,2.7,5.2299999999999995
7.01,Целебные травы,Анор Лондо,35.54198057836344,2216-09-10,0,0,0,3.39,5.960000000000001
7.01,Целебные травы,Анор Лондо,38.79291365822205,2216-09-11,0,0,0,3.39,5.343333333333334
7.01,Целебные травы,Анор Лондо,43.572846290246815,2216-09-12,0,0,0,3.39,5.1933333333333325
7.01,Целебные травы,Анор Лондо,53.72873253096209,2216-09-13,1,0,0,3.39,5.305
7.01,Целебные травы,Анор Лондо,50.3744875097223,2216-09-14,0,1,0,3.39,5.61
7.01,Целебные травы,Анор Лондо,41.95228356223946,2216-09-15,0,0,0,3.39,5.61
7.01,Целебные травы,Анор Лондо,54.088669696374794,2216-09-16,1,0,0,3.39,6.250000000000001
7.01,Целебные травы,Анор Лондо,42.83698744945867,2216-09-17,0,0,0,3.39,5.119999999999999
7.01,Целебные травы,Анор Лондо,41.32998110321688,2216-09-18,0,0,0,3.39,5.4575
7.01,Целебные травы,Анор Лондо,53.42216733019938,2216-09-19,1,0,0,3.39,5.6850000000000005
7.01,Целебные травы,Анор Лондо,43.192443549189875,2216-09-20,0,0,0,3.39,5.409999999999999
7.01,Целебные травы,Анор Лондо,35.454564493992876,2216-09-21,0,0,0,3.39,5.446666666666666
7.01,Целебные травы,Анор Лондо,42.5001909703663,2216-09-22,0,0,0,3.39,6.250000000000001
7.01,Целебные травы,Анор Лондо,59.39036075930669,2216-09-23,0,1,0,3.39,5.409999999999999
7.01,Целебные травы,Анор Лондо,56.02246622180689,2216-09-24,0,1,0,3.39,4.97
